prefix,nexthop,protocol,distance
99.1.0.0/16,10.100.12.81,bgp,20
99.1.0.0/16,10.100.12.89,bgp,20
99.1.0.0/16,10.100.13.48,bgp,20
99.1.0.0/16,10.100.13.52,bgp,20
10.3.98.98/32,10.51.30.1,eigrp,170
10.3.98.98/32,10.51.30.65,eigrp,170
10.3.98.98/32,10.106.110.33,eigrp,170
10.3.98.98/32,10.106.110.37,eigrp,170
10.3.98.98/32,10.106.110.49,eigrp,170
10.3.98.98/32,10.106.110.53,eigrp,170
